current_path,target_owner,proposed_target_path,action,naming,consumer_class,risk_class
lib/collaboration-mode.ts,Projects,lib/projects/collaboration-mode.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/collaboration-surface-language.ts,Projects,lib/projects/collaboration-surface-language.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/continuity-locks.ts,Projects,lib/projects/continuity-locks.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/core-model.ts,Projects,lib/projects/core-model.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/creative-candidates.ts,Projects,lib/projects/creative-candidates.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/creative-memory.ts,Projects,lib/projects/creative-memory.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/creative-remix.ts,Projects,lib/projects/creative-remix.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/foundation-source-context.ts,Projects,lib/projects/foundation-source-context.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/image-to-story-proposals.ts,Projects,lib/projects/image-to-story-proposals.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/ppf-exchange.ts,Projects,lib/projects/ppf-exchange.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-assets.ts,Projects,lib/projects/project-assets.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-folder-sync.ts,Projects,lib/projects/project-folder-sync.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-folder.ts,Projects,lib/projects/project-folder.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-modules.ts,Projects,lib/projects/project-modules.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-package.ts,Projects,lib/projects/project-package.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-phase-one.ts,Projects,lib/projects/project-phase-one.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-progress.ts,Projects,lib/projects/project-progress.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-revisions.ts,Projects,lib/projects/project-revisions.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project-storage-mode.ts,Projects,lib/projects/project-storage-mode.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/project.ts,Projects,lib/projects/project.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/story-dependencies.ts,Projects,lib/projects/story-dependencies.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/story-knowledge-context.ts,Projects,lib/projects/story-knowledge-context.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/story-knowledge-graph.ts,Projects,lib/projects/story-knowledge-graph.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/story-knowledge-ppf.ts,Projects,lib/projects/story-knowledge-ppf.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/story-project-repository.ts,Projects,lib/projects/story-project-repository.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/story-proposals.ts,Projects,lib/projects/story-proposals.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/storyworld-map.ts,Projects,lib/projects/storyworld-map.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/structure.ts,Projects,lib/projects/structure.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/workspace-context.ts,Projects,lib/projects/workspace-context.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/screenplay.ts,Projects,lib/projects/screenplay.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/screenplay-terms.ts,Projects,lib/projects/screenplay-terms.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/screenplay-import.ts,Projects,lib/projects/screenplay-import.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/pdf-screenplay-import.ts,Projects,lib/projects/pdf-screenplay-import.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/visual-canon.ts,Projects,lib/projects/visual-canon.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/visual-context.ts,Projects,lib/projects/visual-context.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/character-visual-identity.ts,Projects,lib/projects/character-visual-identity.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/connection-lifecycle.ts,Integrations,lib/integrations/connection-lifecycle.ts,stay-and-move,preserve,I,HIGH_INTEGRATION
lib/connection-status.ts,Integrations,lib/integrations/connection-status.ts,stay-and-move,preserve,I,HIGH_INTEGRATION
lib/connector-trust-policy.ts,Integrations,lib/integrations/connector-trust-policy.ts,stay-and-move,preserve,I,HIGH_INTEGRATION
lib/github-collaboration.ts,Integrations,lib/integrations/github-collaboration.ts,stay-and-move,preserve,I,HIGH_INTEGRATION
lib/github-command-outbox.ts,Integrations,lib/integrations/github-command-outbox.ts,stay-and-move,preserve,I,HIGH_INTEGRATION
lib/github-recovery-status.ts,Integrations,lib/integrations/github-recovery-status.ts,stay-and-move,preserve,I,HIGH_INTEGRATION
lib/github-repository-recovery.ts,Integrations,lib/integrations/github-repository-recovery.ts,stay-and-move,preserve,I,HIGH_INTEGRATION
lib/ai/adapters.ts,Runtime/AI,lib/runtime/ai/adapters.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/context-pack.ts,Runtime/AI,lib/runtime/ai/context-pack.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/contracts.ts,Runtime/AI,lib/runtime/ai/contracts.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/local-model-capabilities.d.ts,Runtime/AI,lib/runtime/ai/local-model-capabilities.d.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/local-model-capabilities.mjs,Runtime/AI,lib/runtime/ai/local-model-capabilities.mjs,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/local-model-recommendations.mjs,Runtime/AI,lib/runtime/ai/local-model-recommendations.mjs,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/local-runtime.ts,Runtime/AI,lib/runtime/ai/local-runtime.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/providers.ts,Runtime/AI,lib/runtime/ai/providers.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/settings.ts,Runtime/AI,lib/runtime/ai/settings.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/ai/source-registry.ts,Runtime/AI,lib/runtime/ai/source-registry.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/provider-harness.ts,Runtime,lib/runtime/provider-harness.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/run-telemetry.ts,Runtime,lib/runtime/run-telemetry.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/plotpickle-node-topology-core.mjs,Runtime,lib/runtime/plotpickle-node-topology-core.mjs,stay-and-move,preserve,R,HIGH_RUNTIME
lib/plotpickle-node-topology.ts,Runtime,lib/runtime/plotpickle-node-topology.ts,stay-and-move,preserve,R,HIGH_RUNTIME
lib/harness-improvement-core.mjs,Verification,lib/verification/harness-improvement-core.mjs,stay-and-move,preserve,V,HIGH_VERIFY
lib/harness-improvement-proposals.ts,Verification,lib/verification/harness-improvement-proposals.ts,stay-and-move,preserve,V,HIGH_VERIFY
lib/model-portability-evals.ts,Verification,lib/verification/model-portability-evals.ts,stay-and-move,preserve,V,HIGH_VERIFY
lib/production-supervisor-bus.mjs,Verification,lib/verification/production-supervisor-bus.mjs,stay-and-move,preserve,V,HIGH_VERIFY
lib/production-supervisor.mjs,Verification,lib/verification/production-supervisor.mjs,stay-and-move,preserve,V,HIGH_VERIFY
lib/sage-conversation-uat.mjs,Verification,lib/verification/sage-conversation-uat.mjs,stay-and-move,preserve,V,HIGH_VERIFY
lib/uat-autopilot.mjs,Verification,lib/verification/uat-autopilot.mjs,stay-and-move,preserve,V,HIGH_VERIFY
lib/ui-continuity-audit.mjs,Verification,lib/verification/ui-continuity-audit.mjs,stay-and-move,preserve,V,HIGH_VERIFY
lib/core-services.ts,Platform,lib/platform/core-services.ts,stay-and-move,preserve,X,HIGH_PLATFORM
lib/plugin-platform.ts,Platform,lib/platform/plugin-platform.ts,stay-and-move,preserve,X,HIGH_PLATFORM
lib/build-recovery.ts,Build feature,modules/build/build-recovery.ts,leave-lib,preserve,FB,MED_FEATURE
lib/build-workspace-model.ts,Build feature,modules/build/build-workspace-model.ts,leave-lib,preserve,FB,MED_FEATURE
lib/build-workspace-order.ts,Build feature,modules/build/build-workspace-order.ts,leave-lib,preserve,FB,MED_FEATURE
lib/pageflow.ts,Build feature,modules/build/pageflow.ts,leave-lib,preserve,FB,MED_FEATURE
lib/preproduction.ts,Build feature,modules/build/preproduction.ts,leave-lib,preserve,FB,MED_FEATURE
lib/production-draft.ts,Build feature,modules/build/production-draft.ts,leave-lib,preserve,FB,MED_FEATURE
lib/storyboard-exploration.ts,Build feature,modules/build/storyboard-exploration.ts,leave-lib,preserve,FB,MED_FEATURE
lib/video-production.mjs,Build feature,modules/build/video-production.mjs,leave-lib,preserve,FB,MED_FEATURE
lib/visual-production-agent.mjs,Build feature,modules/build/visual-production-agent.mjs,leave-lib,preserve,FB,MED_FEATURE
lib/lazy-frames-core.mjs,Build feature,modules/build/lazy-frames-core.mjs,leave-lib,preserve,FB,MED_FEATURE
lib/dashboard-command-centre.ts,Dashboard feature,modules/dashboard/dashboard-command-centre.ts,leave-lib,preserve,FD,MED_FEATURE
lib/project-dashboard.ts,Dashboard feature,modules/dashboard/project-dashboard.ts,leave-lib,preserve,FD,MED_FEATURE
lib/logline-lab.ts,PLAN feature,modules/plan/logline-lab.ts,leave-lib,preserve,FP,MED_FEATURE
lib/logline-rubric.ts,PLAN feature,modules/plan/logline-rubric.ts,leave-lib,preserve,FP,MED_FEATURE
lib/mini-block-wall-edit.ts,PLAN feature,modules/plan/mini-block-wall-edit.ts,leave-lib,preserve,FP,MED_FEATURE
lib/mini-block-wall-order.ts,PLAN feature,modules/plan/mini-block-wall-order.ts,leave-lib,preserve,FP,MED_FEATURE
lib/mini-block-wall.ts,PLAN feature,modules/plan/mini-block-wall.ts,leave-lib,preserve,FP,MED_FEATURE
lib/full-story-builder.mjs,LEARN feature,modules/learn/full-story-builder.mjs,leave-lib,preserve,FL,MED_FEATURE
lib/learn-full-story-merge.mjs,LEARN feature,modules/learn/learn-full-story-merge.mjs,leave-lib,preserve,FL,MED_FEATURE
lib/writers-room.ts,Creative Room feature,modules/creative-room/writers-room.ts,leave-lib,preserve,FC,MED_FEATURE
lib/ai-revision-playbooks.ts,Edit feature,modules/edit/ai-revision-playbooks.ts,leave-lib,preserve,FW,MED_FEATURE
lib/screenplay-draft.ts,Write feature,modules/write/screenplay-draft.ts,leave-lib,preserve,FW,MED_FEATURE
lib/screenplay-revisions.ts,Edit feature,modules/edit/screenplay-revisions.ts,leave-lib,preserve,FW,MED_FEATURE
lib/screenplay-reports.ts,Reports feature,modules/reports/screenplay-reports.ts,leave-lib,preserve,FW,MED_FEATURE
lib/scene-management.ts,Write feature,modules/write/scene-management.ts,leave-lib,preserve,FW,MED_FEATURE
lib/table-read.ts,Write feature,modules/write/table-read.ts,leave-lib,preserve,FW,MED_FEATURE
lib/graphic-novel-approval.ts,Graphic Novel feature,modules/graphic-novel/graphic-novel-approval.ts,leave-lib,preserve,FG,MED_FEATURE
lib/graphic-novel-asset-versions.ts,Graphic Novel feature,modules/graphic-novel/graphic-novel-asset-versions.ts,leave-lib,preserve,FG,MED_FEATURE
lib/graphic-novel-bubbles.ts,Graphic Novel feature,modules/graphic-novel/graphic-novel-bubbles.ts,leave-lib,preserve,FG,MED_FEATURE
lib/graphic-novel-composition.ts,Graphic Novel feature,modules/graphic-novel/graphic-novel-composition.ts,leave-lib,preserve,FG,MED_FEATURE
lib/graphic-novel-dialogue.ts,Graphic Novel feature,modules/graphic-novel/graphic-novel-dialogue.ts,leave-lib,preserve,FG,MED_FEATURE
lib/graphic-novel-queue.ts,Graphic Novel feature,modules/graphic-novel/graphic-novel-queue.ts,leave-lib,preserve,FG,MED_FEATURE
lib/graphic-novel-story-brief.ts,Graphic Novel feature,modules/graphic-novel/graphic-novel-story-brief.ts,leave-lib,preserve,FG,MED_FEATURE
lib/graphic-novel-viewer.ts,Graphic Novel feature,modules/graphic-novel/graphic-novel-viewer.ts,leave-lib,preserve,FG,MED_FEATURE
lib/character-look-development.ts,Build visual-development feature,modules/build/visual-development/character-look-development.ts,leave-lib,preserve,FV,MED_FEATURE
lib/creative-direction.ts,Build visual-development feature,modules/build/visual-development/creative-direction.ts,leave-lib,preserve,FV,MED_FEATURE
lib/visual-writing-session.ts,Build visual-development feature,modules/build/visual-development/visual-writing-session.ts,leave-lib,preserve,FV,MED_FEATURE
lib/world-look-development.ts,Build visual-development feature,modules/build/visual-development/world-look-development.ts,leave-lib,preserve,FV,MED_FEATURE
lib/consolidated-reports.ts,Reports feature,modules/reports/consolidated-reports.ts,leave-lib,preserve,FF,MED_FEATURE
lib/craft-diagnostics.ts,Feedback feature,modules/feedback/craft-diagnostics.ts,leave-lib,preserve,FF,MED_FEATURE
lib/pitch-review.ts,Feedback feature,modules/feedback/pitch-review.ts,leave-lib,preserve,FF,MED_FEATURE
lib/product-feedback.ts,Feedback feature,modules/feedback/product-feedback.ts,leave-lib,preserve,FF,MED_FEATURE
lib/production-reports.ts,Reports feature,modules/reports/production-reports.ts,leave-lib,preserve,FF,MED_FEATURE
lib/review-workflows.ts,Feedback feature,modules/feedback/review-workflows.ts,leave-lib,preserve,FF,MED_FEATURE
lib/unified-feedback-store.ts,Feedback feature,modules/feedback/unified-feedback-store.ts,leave-lib,preserve,FF,MED_FEATURE
lib/unified-feedback.ts,Feedback feature,modules/feedback/unified-feedback.ts,leave-lib,preserve,FF,MED_FEATURE
lib/ai-pitch-deck-base.ts,Build/Pitch feature,modules/build/pitch/ai-pitch-deck-base.ts,leave-lib,preserve,FQ,MED_FEATURE
lib/ai-pitch-deck.ts,Build/Pitch feature,modules/build/pitch/ai-pitch-deck.ts,leave-lib,preserve,FQ,MED_FEATURE
lib/product-direction.ts,Application shell,app/product-direction.ts,leave-lib,preserve,FS,MED_FEATURE
lib/support-navigation.ts,Application shell,app/support-navigation.ts,leave-lib,preserve,FS,MED_FEATURE
lib/afterglow-example.ts,Legacy/reference,LEGACY-REVIEW,legacy-review,preserve,L,UNKNOWN_LEGACY
lib/afterglow-legacy-visuals.ts,Legacy/reference,LEGACY-REVIEW,legacy-review,preserve,L,UNKNOWN_LEGACY
lib/afterglow-persistence.ts,Legacy/reference,LEGACY-REVIEW,legacy-review,preserve,L,UNKNOWN_LEGACY
lib/afterglow-reference-ppf.ts,Legacy/reference,LEGACY-REVIEW,legacy-review,preserve,L,UNKNOWN_LEGACY
